SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Saurashtra & Kutch,1949,0,0.1,0,0,0.9,13.3,236.5,231.8,55.9,3.4,0.3,0,542.3,0.1,0.9,537.6,3.7
Saurashtra & Kutch,1950,0.2,0,0,0,0,3.1,386.8,21,62.5,0,0,0,473.6,0.2,0,473.4,0
Saurashtra & Kutch,1951,0,0,0.8,0.8,1.4,40,128.3,87.7,6.9,0.4,18.8,0,285.2,0,3,263,19.2
Saurashtra & Kutch,1952,0,0.3,0,0.1,1.7,79.1,279.3,32.7,5.6,1.4,0.7,0,400.8,0.3,1.8,396.7,2.1
Saurashtra & Kutch,1953,6.5,0.3,0.3,0,0,66.3,112.1,450.3,69.7,1,0,0,706.6,6.8,0.4,698.4,1
Saurashtra & Kutch,1954,1.9,1.1,3.5,0,0.4,47.6,180.6,207,154.9,0.8,0.5,1.5,599.8,3,3.9,590,2.8
Saurashtra & Kutch,1955,0,0,0.9,0,0.9,26.3,26.5,140.8,181,8.3,0,0.4,385.1,0,1.8,374.6,8.7
Saurashtra & Kutch,1956,0.3,0.2,0,0.2,1.2,81.3,318.8,175.4,100.4,59,1.8,0.4,739.1,0.5,1.4,675.9,61.2
Saurashtra & Kutch,1957,1.7,0,0.1,0.1,1.5,78.6,197.7,90.4,8,1.5,18.1,0.8,398.5,1.7,1.7,374.8,20.3
Saurashtra & Kutch,1958,0.9,0.5,0.3,3.3,0.5,43.5,159.9,80.8,213.9,34.6,10.1,3.4,551.6,1.4,4.1,498.1,48
Saurashtra & Kutch,1959,0.9,0,0,2.2,1.7,66.5,549.1,69,210.2,116.7,4.6,0,1020.9,0.9,4,894.7,121.3
Saurashtra & Kutch,1960,0.1,0,0.5,0,5.9,122.4,132.5,42.9,32.4,0.5,0,0,337.2,0.1,6.4,330.2,0.6
Saurashtra & Kutch,1961,1,7,4.8,0,2,125.9,294,127.2,178.8,12.1,0.2,0,752.9,7.9,6.8,725.9,12.3
Saurashtra & Kutch,1962,0,0,0.7,0.7,2.8,24,136.9,103.2,90.3,0.3,12.7,0.2,371.8,0,4.1,354.4,13.2
Saurashtra & Kutch,1963,0.5,0,1,1.5,0.5,25,83.1,123.6,65.8,45.4,32.5,0.2,379.1,0.5,3,297.5,78.1
Saurashtra & Kutch,1964,0.2,0,0,0,1.6,105.5,168.4,184.9,78.8,0.1,0,0,539.5,0.2,1.6,537.6,0.1
Saurashtra & Kutch,1965,5.5,0,0,0.3,0.2,1.4,285.7,112.1,13.7,0.2,2.1,0,421.3,5.5,0.5,413,2.3
Saurashtra & Kutch,1966,0.2,0,0,0,0.2,74.7,167.3,6.8,76.5,0.7,0.1,0,326.5,0.2,0.2,325.4,0.8
Saurashtra & Kutch,1967,0,0,46.2,0.7,0.2,106.2,467.4,61.2,30.8,0.1,0,25.6,738.6,0,47.1,665.8,25.8
Saurashtra & Kutch,1968,1.1,1,0.9,0,0.6,11,104.9,165.2,24.2,5.1,0.6,0,314.6,2,1.5,305.3,5.8
Saurashtra & Kutch,1969,0,0.2,0,0,0,44.2,176.3,35.5,26.9,0.3,6.4,0.2,290,0.2,0,282.9,6.9
Saurashtra & Kutch,1970,0.1,0.1,0.4,0.2,7.6,70.2,215.7,327.5,196,17.7,0.1,0,835.8,0.2,8.3,809.5,17.8
Saurashtra & Kutch,1971,0.3,0,0,0.3,2,147.1,176.8,134.1,52.2,0.9,0,0,513.6,0.3,2.3,510.1,0.9
Saurashtra & Kutch,1972,0.1,3.4,0,0,0.3,87,98.8,24.9,7.2,0.4,0,0,222.1,3.4,0.3,217.9,0.4
Saurashtra & Kutch,1973,0.8,0.1,0,0,0.5,50.8,177.2,78.6,75.3,7,0,0,390.3,1,0.5,381.9,7
Saurashtra & Kutch,1974,0,0,0,0.2,10.3,16.1,56.4,26.1,45.6,29.6,0,0.4,184.7,0,10.5,144.2,30
Saurashtra & Kutch,1975,0.7,0,0,0,0,101.2,87.5,189.3,200,103.3,0,0,682.1,0.7,0,578.1,103.3
Saurashtra & Kutch,1976,1,0.1,1,0,0,103.7,237.8,188.2,64.8,2.3,26.6,0,625.5,1.1,1.1,594.5,28.9
Saurashtra & Kutch,1977,1,0,0,0,7.7,161,198.2,88.6,98.9,0.9,7.8,0,564.1,1,7.7,546.6,8.8
Saurashtra & Kutch,1978,0,0.7,0,2.5,0,157.4,104.2,170.3,11.1,9.7,32.1,0.5,488.6,0.7,2.5,443.1,42.3
Saurashtra & Kutch,1979,0,3.3,0,0,0.1,143.5,34.7,634,37,12.2,89.7,1,955.4,3.3,0.1,849.1,102.8
Saurashtra & Kutch,1980,0.3,0.2,0,0,0,321.8,231.6,58.1,15.1,0.1,0.9,7.8,635.8,0.4,0,626.6,8.8
Saurashtra & Kutch,1981,0.7,0,0,0,0.7,46,284.5,163.8,89.5,32.8,87,0,705,0.7,0.8,583.7,119.8
Saurashtra & Kutch,1982,0.1,0,0,0.3,20.5,5.2,136.7,114.1,16.9,0.7,106.7,0,401.3,0.1,20.8,272.9,107.4
Saurashtra & Kutch,1983,0.2,0.1,0,1.3,0.5,210.2,211.8,246.3,67.8,20.3,0,0,758.4,0.3,1.7,736.1,20.3
Saurashtra & Kutch,1984,0,0,0,0,0,57.7,116.7,153.2,116.1,0,0,0,443.7,0,0,443.7,0
Saurashtra & Kutch,1985,0,0,0,0,5.1,12,103.3,118.6,17.7,42.1,0,0,298.8,0,5.1,251.6,42.1
Saurashtra & Kutch,1986,0,0,0.2,0,2.2,167.8,30.4,93,4.8,0,0,0.1,298.5,0,2.3,296,0.1
Saurashtra & Kutch,1987,0,0,0.4,0,0.1,31.4,18.4,33.5,2.1,0.1,3.2,3.3,92.7,0,0.5,85.5,6.6
Saurashtra & Kutch,1988,0,0,0,1.1,0.1,12.7,495.8,110.8,131,0.8,0,0,752.3,0,1.1,750.3,0.8
Saurashtra & Kutch,1989,1.8,0,0.2,0,0,134.5,256.6,60.6,41.3,3.1,0,0,498.2,1.8,0.2,493.1,3.1
Saurashtra & Kutch,1990,0,2.3,0.4,0,5.9,32.9,16.9,259.4,70.1,18.8,0.1,1.1,407.9,2.3,6.3,379.3,20
Saurashtra & Kutch,1991,0,0,0,0,0,13.3,155.6,44.2,5.4,0,0,0.3,218.7,0,0,218.4,0.3
Saurashtra & Kutch,1992,1.8,0.2,0,0,0.1,45.1,343.2,111.9,88.7,9.5,0.2,0,600.7,2,0.1,588.9,9.7
Saurashtra & Kutch,1993,1.5,4.8,0,0,0,41.4,140.6,4,70.1,30.5,17.2,2.5,312.7,6.4,0,256.2,50.1
Saurashtra & Kutch,1994,1,0,0,0,0,99.4,403.1,137.5,231.6,0.2,0,0,872.8,1,0,871.6,0.2
Saurashtra & Kutch,1995,0,0,0.2,0,0,3,259.1,45.4,42.5,23.9,0,0,374.1,0,0.2,350,23.9
Saurashtra & Kutch,1996,0.4,0,0,0.1,0,137.1,162.1,23.9,11.8,39,0,0,374.4,0.4,0.2,334.9,39
Saurashtra & Kutch,1997,0.8,0,0.6,0.3,3,189.8,137.4,95.7,170.7,1.9,0,0,600.2,0.8,3.9,593.7,1.9
Saurashtra & Kutch,1998,0,0,0,0,0,109.1,149.6,94.4,62.1,150,1.6,0,566.9,0,0,415.2,151.6
Saurashtra & Kutch,1999,1.3,10.5,0,0,131.9,60.6,42.3,17.4,23.9,92.9,0,0,380.7,11.8,131.9,144.2,92.9
Saurashtra & Kutch,2000,0,0,0,0,2.9,5.4,224.7,46.2,4.5,2.2,0,0.1,286.1,0,2.9,280.9,2.3
Saurashtra & Kutch,2001,0,0,0,0.2,0.9,172.9,191.1,116.9,20.6,7.6,0,0,510.2,0,1,501.5,7.6
Saurashtra & Kutch,2002,0,0,0,0,0,166.4,8,117.5,15.1,0.2,0.2,0.6,308.1,0,0,307,1
Saurashtra & Kutch,2003,0,0.4,0,0,0,68.2,402.2,190.7,21.7,3,0,0,686.2,0.4,0,682.7,3
Saurashtra & Kutch,2004,0.2,0,0,0,13.6,95,90,227.7,36.1,19.7,0,0,482.2,0.2,13.6,448.6,19.8
Saurashtra & Kutch,2005,0,0,0,0.2,0.2,201.2,126.7,68.4,233.1,1.7,0,0,631.6,0,0.4,629.4,1.7
Saurashtra & Kutch,2006,0,0,1.9,0,0,66.2,373.4,189.8,68.2,1.4,0.3,0.6,701.8,0,1.9,697.7,2.3
Saurashtra & Kutch,2007,0,1.9,0.1,0,0.2,114.1,209.2,405.4,157,1.7,1.2,0,890.7,1.9,0.3,885.7,2.8
Saurashtra & Kutch,2008,0.1,0.1,0.1,0.5,0,96,150.3,115.1,231.6,5.8,0.6,7.7,607.9,0.2,0.6,593,14.1
Saurashtra & Kutch,2009,0,0,0,0,0,68.1,409.1,106,8.8,3.3,1.5,0,596.9,0,0.1,592,4.9
Saurashtra & Kutch,2010,0.1,0,0,0,0.1,71.1,393.8,391.3,187.6,11.6,64.3,0,1119.9,0.1,0.1,1043.7,75.9
Saurashtra & Kutch,2011,0,1.4,0,0,0,26,212.7,290.9,210.1,1.2,0.1,0,742.5,1.4,0,739.8,1.3
Saurashtra & Kutch,2012,0,0,0,0.2,0.1,22.4,34.7,34.5,228.5,2.4,0,1,323.8,0,0.2,320.1,3.4
Saurashtra & Kutch,2013,1.7,0.2,0.1,8.5,0.1,127.7,171.2,83.3,260.2,28.6,0,0,681.8,1.9,8.7,642.5,28.6
Saurashtra & Kutch,2014,0.3,0,0.1,0.5,2.1,17.3,137.7,118.8,99.2,5.2,2.7,0,383.9,0.3,2.7,373,7.8
Saurashtra & Kutch,2015,0.9,0,4.4,2.1,0.8,112.6,226.7,10.6,79.9,3.3,0.3,0,441.7,0.9,7.4,429.8,3.6
Saurashtra & Kutch,2016,0,0,0.3,0,1.1,31.3,110,216,59.6,64.7,0,0,482.9,0,1.3,416.9,64.7
Saurashtra & Kutch,2017,0.1,0,0,0,0.1,81.8,368.6,153.5,41.8,4.8,0,1.3,652.1,0.1,0.1,645.8,6.1
